Height,element,Peak Freq (Hz),Length(s),c-c Interval(ms)
38,c,4220.508,0.0787,71
20,c,4048.242,0.0837,50.7
20,c,2928.516,0.0763,60.9
20,c,3273.047,0.0736,73.6
20,c,3617.578,0.0761,55.8
20,c,3789.844,0.0787,53.3
20,c,2670.117,0.0837,93.9
20,c,3962.109,0.0812,45.7
20,c,3962.109,0.0736,83.7
20,c,3531.445,0.078,57.4
20,c,3273.047,0.0771,43.1
20,c,3186.914,0.0888,43.1
59,c,3359.18,0.0939,55.8
59,c,3962.109,0.0812,76.1
59,c,3703.711,0.0964,66
59,c,3789.844,0.099,55.8
57,c,3014.648,0.0863,81.2
57,c,3962.109,0.071,78.7
57,c,3186.914,0.0812,91.3
47,c,4909.57,0.0863,78.7
23,c,4134.375,0.0888,68.5
23,c,2670.117,0.0837,71
23,c,3962.109,0.0761,68.5
23,c,3617.578,0.071,88.8
23,c,3014.648,0.0736,99
23,c,3789.844,0.071,88.8
39,c,2928.516,0.0812,63.4
41,c,3617.578,0.0812,91.3
41,c,3014.648,0.0736,68.5
41,c,3703.711,0.0913,50.7
41,c,4306.641,0.0837,64.6
41,c,4220.508,0.0863,66
41,c,3703.711,0.0812,66
41,c,3962.109,0.0628,48.4
41,c,3962.109,0.0812,73.6
66,c,4565.039,0.0758,63.4
75,c,3445.312,0.0812,68.5
86,c,2756.25,0.0787,91.3
86,c,3186.914,0.0913,66
86,c,2928.516,0.0863,83.7
58,c,4306.641,0.0716,81.2
31,c,3100.781,0.0888,73.6
31,c,4134.375,0.099,63.4
31,c,3962.109,0.0787,81.2
31,c,3617.578,0.0863,60.9
31,c,3875.977,0.0888,53.3
31,c,3359.18,0.0812,66
52,c,3014.648,0.0863,60.9
75,c,3186.914,0.0837,73.6
52,c,2842.383,0.0787,104
52,c,3962.109,0.0964,68.5
30,c,3962.109,0.0867,63.4
30,c,3617.578,0.1059,55.8
51,c,4392.773,0.0787,63.4
47,c,4220.508,0.0787,48.2
47,c,4220.508,0.0888,45.7
47,c,3014.648,0.0837,60.9
44,c,4306.641,0.0939,40.6
44,c,3359.18,0.0685,76.1
27,c,3273.047,0.0812,68.5
20,c,4737.305,0.099,73.6
30,c,4651.172,0.0837,68.5
78,c,3962.109,0.1005,100.5
69,c,4306.641,0.1005,68.2
33,c,4220.508,0.0697,61
31,c,3703.711,0.0879,44.9
31,c,4220.508,0.0861,55.6
11,c,3359.18,0.0842,52.8
11,c,4478.906,0.1003,63.4
11,c,4048.242,0.0787,66
100,c,3875.977,0.0888,68.5
100,c,2928.516,0.0761,83.7
43,c,4220.508,0.0837,63.4
43,c,4392.773,0.0787,66
43,c,4220.508,0.0761,63.4
43,c,3617.578,0.071,96.4
43,c,3875.977,0.0761,76.1
43,c,3273.047,0.0825,75.4
32,c,3962.109,0.0933,64.6
32,c,3962.109,0.0861,61
32,c,3531.445,0.0861,71.8
32,c,3875.977,0.1005,71.8
5,c,3359.18,0.1005,46.6
5,c,3789.844,0.1076,46.6
5,c,3703.711,0.106,96.4
86,c,4048.242,0.0913,66
82,c,3445.312,0.0863,86.3
35,c,3875.977,0.0751,71
35,c,3445.312,0.0888,45.7
35,c,4392.773,0.0787,81.2
35,c,3789.844,0.0761,60.9
35,c,2842.383,0.0812,76.1
35,c,2842.383,0.0837,53.3
35,c,2842.383,0.0837,63.4
35,c,3703.711,0.0787,78.7
35,c,4392.773,0.0837,76.1
35,c,4478.906,0.0888,78.7
35,c,4478.906,0.0837,71
34,c,2583.984,0.071,66
34,c,4220.508,0.0913,93.9
34,c,3100.781,0.0837,71
34,c,3962.109,0.099,60.9
34,c,3531.445,0.0863,48.2
34,c,3531.445,0.0863,101.5
